"BM_activity","BM_rate","BM_consistency","BM_actdet_stationary","BM_actdet_walking","posture_activity","posture_rate","speech_profile_speaking","speech_profile_overlap","speech_profile_listening","speech_profile_silent","speech_profile_total_speaking","speech_profile_total_silent","speech_participation","audio_front_volume","audio_front_vol_consistency","audio_back_volume","audio_back_vol_consistency","interactions_combined_101","interactions_combined_102","interactions_combined_Average","interactions_proximity_101","interactions_proximity_102","interactions_proximity_Average","interactions_facetoface_101","interactions_facetoface_102","interactions_facetoface_Average","combined_betweenness_centrality","combined_closeness_centrality","combined_closeness_vitality","combined_cohesion","combined_degree_centrality","facetoface_betweenness_centrality","facetoface_closeness_centrality","facetoface_closeness_vitality","facetoface_cohesion","facetoface_degree_centrality","proximity_betweenness_centrality","proximity_closeness_centrality","proximity_closeness_vitality","proximity_cohesion","proximity_degree_centrality","Temp","ID","Woman","SD"
0.006964307,-8.26e-06,0.983232372,2172,36,2.42441663,-0.002135141,547.7,193,446.9,1332.4,740.7,1779.3,0.525242423,0.008067118,0.468637219,0.008555515,0.482502487,0,2520,1260,0,1559.162295,779.5811475,0,1525.657103,762.8285515,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.43994147,"215",1,0
0.005119599,6.59e-06,0.990182433,2162,26,2.256071761,0.002174281,446.9,193,547.7,1332.4,639.9,1880.1,0.354122657,0.012410796,0.67993357,0.009930687,0.631775015,2520,0,1260,1559.162295,0,779.5811475,1525.657103,0,762.8285515,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.99494676,"216",1,0
0.006801732,-0.000112,0.984820508,2021,0,2.193006775,-0.000823,552.3,225.8,410.2,1151.7,778.1,1561.9,0.462152942,0.014482221,0.384728268,0.015250982,0.417122039,0,2340,1170,0,1502.567967,751.2839835,0,1390.305032,695.152516,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.65981034,"417",1,1
0.005465843,1.64e-05,0.988427164,2007,9,2.440392898,0.016981655,410.2,225.8,552.3,1151.7,636,1704,0.400667571,0.014907354,0.634515094,0.012305944,0.621614494,2340,0,1170,1502.567967,0,751.2839835,1390.305032,0,695.152516,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.66282653,"418",1,1
0.007195428,-3.97e-05,0.984235347,2201,53,2.938375885,-0.000611,383.2,122.1,314.8,1639.9,505.3,1954.7,0.284525997,0.012004978,0.770996096,0.009161867,0.671949316,0,2460,1230,0,1490.946886,745.473443,0,868.727874,434.363937,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,NA,"111",1,1
0.005942034,-5.82e-06,0.987447907,2284,0,1.958453445,-0.000267,314.8,122.1,383.2,1639.9,436.9,2023.1,0.630108149,0.009119351,0.746306407,0.008837516,0.700077765,2460,0,1230,1490.946886,0,745.473443,868.727874,0,434.363937,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,NA,"112",1,0
0.0084283,-1.47e-06,0.979133609,1609,58,3.36324774,-0.004437684,425,152.4,436.8,965.8,577.4,1402.6,0.380200429,0.010196457,0.395325307,0.010475559,0.467374446,0,1980,990,0,1131.374792,565.687396,0,1106.45461,553.227305,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.99635131,"219",0,0
0.005527561,-7.88e-06,0.989179989,1627,22,2.647133286,-0.00393283,436.8,152.4,425,965.8,589.2,1390.8,0.432930885,0.01481845,0.568442995,0.012185479,0.502750244,1980,0,990,1131.374792,0,565.687396,1106.45461,0,553.227305,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.62756508,"220",0,0
0.007623469,5e-05,0.982998595,2243,51,2.109736644,0.003186371,555.4,179.4,403.4,1501.8,734.8,1905.2,0.498991786,0.012888255,0.501056239,0.013295659,0.478022,0,2640,1320,0,1681.642506,840.821253,0,1516.021179,758.0105895,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.17829505,"223",0,0
0.004360002,1.05e-05,0.990430396,2314,0,1.807733403,0.004685639,403.4,179.4,555.4,1501.8,582.8,2057.2,0.381690032,0.017976423,0.688526859,0.015378317,0.67466292,2640,0,1320,1681.642506,0,840.821253,1516.021179,0,758.0105895,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.62595857,"224",0,0
0.003145692,-6.09e-05,0.993576249,1908,0,1.369409652,0.000106,401.1,173.4,400.9,1244.6,574.5,1645.5,0.350956538,0.010309306,0.808870932,0.007739719,0.691603532,0,2220,1110,0,1335.25748,667.62874,0,1071.025492,535.512746,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.05561835,"226",1,1
0.004807453,1.84e-05,0.989362773,1930,8,1.129245414,-0.005594138,400.9,173.4,401.1,1244.6,574.3,1645.7,0.320214633,0.006134449,0.744408873,0.00644486,0.776367402,2220,0,1110,1335.25748,0,667.62874,1071.025492,0,535.512746,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,26.93456138,"425",1,1
0.0076205,-5.27e-05,0.982005926,1809,41,2.346827289,-0.003614855,285.3,55.4,247.7,1391.6,340.7,1639.3,0.630555275,0.007482927,0.824642702,0.007842716,0.815506267,0,1980,990,0,1256.654737,628.3273685,0,1049.136464,524.568232,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,26.53076595,"217",1,1
0.006272337,1.71e-05,0.987136676,1808,29,1.909927565,0.004848045,247.7,55.4,285.3,1391.6,303.1,1676.9,0.199242705,0.01171408,0.812818879,0.008583618,0.811668198,1980,0,990,1256.654737,0,628.3273685,1049.136464,0,524.568232,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,27.59613946,"228",1,1
0.004504023,-5.25e-05,0.990312544,1735,15,1.792712084,-0.001361757,481.9,104.8,344.8,1108.5,586.7,1453.3,0.436213896,0.022321616,0.442762429,0.020314777,0.452517933,0,2040,1020,0,1206.932184,603.466092,0,1159.016537,579.5082685,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.44243444,"229",0,0
0.007128983,1.54e-05,0.983956937,1739,7,3.310474109,0.001910365,344.8,104.8,481.9,1108.5,449.6,1590.4,0.386335124,0.012455035,0.671076198,0.012335838,0.568678444,2040,0,1020,1206.932184,0,603.466092,1159.016537,0,579.5082685,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.30089658,"230",0,0
0.005188879,-1.69e-06,0.987665394,2148,0,2.552312131,0.000252,544.7,163.7,512.3,1239.3,708.4,1751.6,0.426202423,0.011125014,0.70535328,0.008528541,0.647064609,0,2460,1230,0,1505.498169,752.7490845,0,934.58305,467.291525,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.50929431,"232",1,1
0.006486498,-4.03e-05,0.984843914,2120,48,2.014183797,0.002603753,512.3,163.7,544.7,1239.3,676,1784,0.439651236,0.007750336,0.593961197,0.007992101,0.605616444,2460,0,1230,1505.498169,0,752.7490845,934.58305,0,467.291525,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.21804366,"431",1,0
0.003416835,-4.35e-05,0.993122292,1948,0,1.315264725,-0.000977,581.6,170.5,507.9,1020,752.1,1527.9,0.3271717,0.011319834,0.777947074,0.008439521,0.574206655,0,2280,1140,0,1462.263971,731.1319855,0,1241.302108,620.651054,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.02651878,"249",1,0
0.00503,-3.69e-05,0.990046539,1939,13,1.27933358,0.000779,507.9,170.5,581.6,1020,678.4,1601.6,0.512740581,0.007476144,0.518670422,0.007664138,0.566076706,2280,0,1140,1462.263971,0,731.1319855,1241.302108,0,620.651054,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,27.87118518,"433",1,1
